order,family,life_history,aquatic_life_stage_habitat,common_name,Tim_and_Danielle_difference,sources,Tim_notes,Danielle_notes,,,,,,,,,,,
Lepidoptera,Glyphipterigidae,terrestrial,,Sedge and false diamondback moths,,https://bugguide.net/node/view/28836,,,,,,,,,,,,,
Odonata,Gomphidae,aquatic,,Club-tailed dragonflies,,,,,,,,,,,,,,,
Diptera,Heleomyzidae,terrestrial,,Sun Flies,,https://bugguide.net/node/view/12760,Decaying matter,"Larvae feed on decaying plant and animal matter, mushrooms, and various fungi",,,,,,,,,,,
Trichoptera,Helicopsychidae,aquatic,,Snail-cased caddisflies,,https://bugguide.net/node/view/52437,,,,,,,,,,,,,
Neuroptera,Hemerobiidae,terrestrial,,Brown lacewings,,https://bugguide.net/node/view/3577,terrestrial,,,,,,,,,,,,
Astigmata,Hemisarcoptidae,terrestrial,,Hemisarcoptid mites,,,"terrestrial, ectoparasitoids or predators",Can't find anything about this family,,,,,,,,,,,
Ephemeroptera,Heptageniidae,aquatic,,Flatheaded mayflies,,https://bugguide.net/node/view/22105,,,,,,,,,,,,,
Diptera,Hybotidae,terrestrial,,Hybotid dance flies,,https://www.biotaxa.org/Zootaxa/article/download/zootaxa.4521.2.10/36019,"Likely terrestrial, but I can't find a ton either","It looks like this family is mostly terrestrial, but not much is known about them.",,,,,,,,,,,
Coleoptera,Hydrophilidae,aquatic,,Water scavenger beetles,Danielle says these are mostly aquatic and Tim says they're taught as aquatic; going with aquatic.,https://bugguide.net/node/view/9594; https://en.wikipedia.org/wiki/Hydrophilidae#Habitat,"Most likely you have the aquatic ones, we teach this family in intro and the aquatics are common.",Mostly aquatic (larval and adult form) not sure how to classify,,,,,,,,,,,
Trichoptera,Hydropsychidae,aquatic,,Netspinning caddisflies,,https://bugguide.net/node/view/13136,,,,,,,,,,,,,
Trichoptera,Hydroptilidae,aquatic,,Microcaddisflies,,https://bugguide.net/node/view/118384,,,,,,,,,,,,,
Trombidiformes,Hydryphantidae,aquatic,,Water mites,,https://www.biotaxa.org/saa/article/view/saa.19.2.6,,,,,,,,,,,,,
Trombidiformes,Hygrobatidae,aquatic,,Water mites,,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.495.1.1,likely aquatic,"I am basing my classification of this family purely on the fact that they are ""water mites."" I have no idea if they are aquatic or terrestrial.",,,,,,,,,,,
Hymenoptera,Ichneumonidae,terrestrial,,Ichneumon wasps,,https://en.wikipedia.org/wiki/Ichneumonidae#Reproduction_and_diet,,"Parasitoid wasp family, larvae in host insects",,,,,,,,,,,
Ephemeroptera,Isonychiidae,aquatic,,Brushlegged mayflies,,https://bugguide.net/node/view/45090/; https://www.waterbugkey.vcsu.edu/php/familydetail.php?idnum=8&f=Isonychiidae&ls=larvae,,,,,,,,,,,,,
Collembola,Isotomidae,unknown,,Collembola spp,"Danielle found a paper that showed this family as occurring in water, but Tim says that Collembola are mostly soil-dwellers. This is apparently a new family so keeping this ""unknown"" for now.",https://zookeys.pensoft.net/article/49363/,Collembola are mostly soil-dwellers,This seems to be a fairly new family and there is very little information on it or a common name. ,,,,,,,,,,,
Diptera,Keroplatidae,terrestrial,,Predatory fungus gnats,,https://bugguide.net/node/view/14942,agree terrestrial,"Larvae inhabit damp, dark places, sometimes caves?",,,,,,,,,,,
Lepidoptera,Lasiocampidae,terrestrial,,Tent caterpillar and lappet moths,,https://bugguide.net/node/view/178,,,,,,,,,,,,,
Coleoptera,Latridiidae,terrestrial,,Minute brown Scavenger beetles,,https://www.mindat.org/taxon-7834.html,,,,,,,,,,,,,
Diptera,Lauxaniidae,terrestrial,,Lauxanid Fly,,https://bugguide.net/node/view/7021,,Larvae feed on decaying vegetation in moist areas.,,,,,,,,,,,
Trombidiformes,Lebertiidae,aquatic,,Water mites,,https://bugguide.net/node/view/91710,likely aquatic,,,,,,,,,,,,
Trichoptera,Leptoceridae,aquatic,,Long-horned caddisflies,,https://bugguide.net/node/view/11600,,,,,,,,,,,,,
Ephemeroptera,Leptohyphidae,aquatic,,Little stout crawler mayflies,,https://bugguide.net/node/view/496390/,,,,,,,,,,,,,
Ephemeroptera,Leptophlebiidae,aquatic,,Pronggilled mayflies,,https://bugguide.net/node/view/17305,,,,,,,,,,,,,
Odonata,Lestidae,aquatic,,Spread-winged damselflies,,https://bugguide.net/node/view/298,,,,,,,,,,,,,
Plecoptera,Leuctridae,aquatic,,Roll-winged stoneflies,,https://en.wikipedia.org/wiki/Leuctridae,all stoneflies aquatic nymphs,Stoneflies (aquatic),,,,,,,,,,,
Odonata,Libellulidae,aquatic,,Skimmers,,https://bugguide.net/node/view/381,all odonates aquatic nymphs,Are all Odonates aquatic larvae?,,,,,,,,,,,
Lepidoptera,Limacodidae,terrestrial,,Slug caterpillar moths,,https://bugguide.net/node/view/131,,,,,,,,,,,,,
Trichoptera,Limnephilidae,aquatic,,Northern caddisflies,,https://bugguide.net/node/view/11604,,,,,,,,,,,,,
Trombidiformes,Limnesiidae,aquatic,,Water mites,,https://en.wikipedia.org/wiki/Limnesiidae,likely aquatic,,,,,,,,,,,,
Diptera,Limoniidae,aquatic,,Limoniid crane flies,,https://bugguide.net/node/view/14937; https://www.americaninsects.net/f/limoniidae.html,"Unlikely you'll be able to distinguish those two genera, I'd say just treat as aquatic","Many Limoniid Crane Flies are aquatic during the larval period but there are two genuses that are not (Gnophomyia in decaying wood, Gonomyia in soil)",,,,,,,,,,,
Araneae,Linyphiidae,terrestrial,,Small spiders,,https://en.wikipedia.org/wiki/Linyphiidae,terrestrial,,,,,,,,,,,,
Psocoptera/Psocodea,Liposcelididae,terrestrial,,Booklice,,https://bugguide.net/node/view/18966; http://tolweb.org/Liposcelididae/14455,should be terrestrial?,,,,,,,,,,,,
Diptera,Lonchaeidae,terrestrial,,Lance flies,,https://bugguide.net/node/view/14162,,,,,,,,,,,,,
Diptera,Lonchopteridae,terrestrial,,Pointed-winged flies,,https://bugguide.net/node/view/29320,"""near water"" but not in water, looks like",Says larvae occur in dry and moist areas?,,,,,,,,,,,
Araneae,Lycosidae,terrestrial,,Wolf spiders,,https://bugguide.net/node/view/1967,terrestrial,Says that they may live in marshes too? Would this be considered aquatic?,,,,,,,,,,,
Hemiptera,Lygaeidae,terrestrial,,Seed bugs,,https://bugguide.net/node/view/129,,,,,,,,,,,,,
Mesostigmata,Macronyssidae,terrestrial,,Parasitic mites,,https://www-sciencedirect-com.proxy.library.cornell.edu/topics/agricultural-and-biological-sciences/macronyssidae,terrestrial,parasitic mites,,,,,,,,,,,
Hymenoptera,Megaspilidae,terrestrial,,Parasitoid Wasp,,https://bugguide.net/node/view/155554,terrestrial,Parasitizes insects,,,,,,,,,,,
Hemiptera,Membracidae,terrestrial,,Treehopper,,https://bugguide.net/node/view/174,"terrestrial, but if you find an aquatic one I want to see it",,,,,,,,,,,,
Psocoptera/Psocodea,Mesopsocidae,terrestrial,,Middle barklice,,https://bugguide.net/node/view/166614/; http://tolweb.org/Mesopsocidae/14480,should be terrestrial?,,,,,,,,,,,,
Hemiptera,Mesoveliidae,aquatic,,Water treaders,,https://bugguide.net/node/view/8999,depends how you count living on the surface of the water ,,,,,,,,,,,,
Diptera,Micropezidae,terrestrial,Marshes,Stilt-legged Flies,"Danielle not sure, Tim says likely terrestrial; going with terrestrial",https://bugguide.net/node/view/134,likely terrestrial,"found in moist environments, but eat rotting fruit. Unsure on classification",,,,,,,,,,,
Diptera,Milichiidae,terrestrial,,Freeloader flies,,https://bugguide.net/node/view/23319,,,,,,,,,,,,,
Araneae,Mimetidae,terrestrial,,Pirate spiders,,https://en.wikipedia.org/wiki/Pirate_spider,,,,,,,,,,,,,
Hemiptera,Miridae,terrestrial,,Capsid bugs,,https://bugguide.net/node/view/94,terrestrial,Not sure on this one,,,,,,,,,,,
Lepidoptera,Momphidae,terrestrial,,Momphid moths,,https://bugguide.net/node/view/903638; https://en.wikipedia.org/wiki/Momphidae,,,,,,,,,,,,,
Diptera,Muscidae,terrestrial,,"House flies, stable flies",,https://en.wikipedia.org/wiki/Muscidae,,Larvae develop in decaying plant material or manure,,,,,,,,,,,
Diptera,Mycetophilidae,terrestrial,,Fungus gnats,,https://en.wikipedia.org/wiki/Mycetophilidae,,,,,,,,,,,,,
